regimen,gremio,PC,r_pearson,p_pearson,rho_spearman,p_spearman,beta_std,p_beta,R2_adj_modelo,r_partial_PC1_MEV,p_partial_PC1_MEV,p_pearson_fdr,p_spearman_fdr,p_beta_fdr,p_partial_PC1_MEV_fdr,p_valor,p_valor_corregido
xiE=0.1_xiV=0.1,E,PC1,0.8,0.0,0.757,0.0,0.11,0.0,0.768,0.866,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xiE=0.1_xiV=0.1,E,PC2,0.286,0.001,0.398,0.0,0.039,0.0,0.768,,,0.002,0.0,0.0,,0.0,0.0
xiE=0.1_xiV=0.1,E,PC3,0.227,0.012,0.247,0.006,0.031,0.0,0.768,,,0.015,0.008,0.0,,0.0,0.0
xiE=0.1_xiV=0.1,V,PC1,0.368,0.0,0.359,0.0,0.03,0.0,0.742,0.711,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xiE=0.1_xiV=0.1,V,PC2,0.778,0.0,0.841,0.0,0.064,0.0,0.742,,,0.0,0.0,0.0,,0.0,0.0
xiE=0.1_xiV=0.1,V,PC3,-0.09,0.325,-0.082,0.368,-0.007,0.054,0.742,,,0.356,0.398,0.063,,0.054,0.063
xiE=0.9_xiV=0.1,E,PC1,-0.828,0.0,-0.788,0.0,-0.01,0.0,0.771,-0.867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xiE=0.9_xiV=0.1,E,PC2,-0.184,0.042,-0.289,0.001,-0.002,0.0,0.771,,,0.05,0.002,0.0,,0.0,0.0
xiE=0.9_xiV=0.1,E,PC3,-0.24,0.008,-0.244,0.007,-0.003,0.0,0.771,,,0.01,0.009,0.0,,0.0,0.0
xiE=0.9_xiV=0.1,V,PC1,-0.69,0.0,-0.744,0.0,-0.128,0.0,0.595,-0.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xiE=0.9_xiV=0.1,V,PC2,-0.145,0.112,-0.145,0.112,-0.027,0.014,0.595,,,0.128,0.128,0.018,,0.014,0.018
xiE=0.9_xiV=0.1,V,PC3,-0.329,0.0,-0.42,0.0,-0.061,0.0,0.595,,,0.0,0.0,0.0,,0.0,0.0
xiE=0.1_xiV=0.9,E,PC1,0.756,0.0,0.733,0.0,0.071,0.0,0.659,0.798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xiE=0.1_xiV=0.9,E,PC2,0.285,0.001,0.378,0.0,0.027,0.0,0.659,,,0.002,0.0,0.0,,0.0,0.0
xiE=0.1_xiV=0.9,E,PC3,0.122,0.182,0.215,0.017,0.011,0.024,0.659,,,0.203,0.022,0.029,,0.024,0.029
xiE=0.1_xiV=0.9,V,PC1,-0.025,0.786,0.041,0.651,-0.001,0.772,0.116,0.141,0.124,0.796,0.676,0.792,0.14,0.772,0.792
xiE=0.1_xiV=0.9,V,PC2,0.364,0.0,0.321,0.0,0.012,0.0,0.116,,,0.0,0.0,0.0,,0.0,0.0
xiE=0.1_xiV=0.9,V,PC3,0.073,0.427,0.013,0.888,0.002,0.398,0.116,,,0.45,0.888,0.424,,0.398,0.424
xiE=0.9_xiV=0.9,E,PC1,-0.827,0.0,-0.785,0.0,-0.089,0.0,0.793,-0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xiE=0.9_xiV=0.9,E,PC2,-0.198,0.029,-0.341,0.0,-0.021,0.0,0.793,,,0.035,0.0,0.0,,0.0,0.0
xiE=0.9_xiV=0.9,E,PC3,-0.274,0.002,-0.24,0.008,-0.029,0.0,0.793,,,0.003,0.01,0.0,,0.0,0.0
xiE=0.9_xiV=0.9,V,PC1,0.673,0.0,0.647,0.0,0.073,0.0,0.743,0.856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xiE=0.9_xiV=0.9,V,PC2,0.472,0.0,0.553,0.0,0.051,0.0,0.743,,,0.0,0.0,0.0,,0.0,0.0
xiE=0.9_xiV=0.9,V,PC3,0.271,0.002,0.322,0.0,0.029,0.0,0.743,,,0.003,0.0,0.0,,0.0,0.0
