id,original_id,network_type,M_E,M_V,E/V,mean_k_E,mean_k_V,rho_L,Q,NODF
network_001,AN_1,bacteria.phage,4,10,0.4,5.5,2.2,0.55,0.305785,0.3372549019607843
network_002,AN_2,host.parasite,19,7,2.7142857142857144,3.263157894736842,8.857142857142858,0.4661654135338345,0.216831,0.5009108946608947
network_003,AN_3,host.parasite,10,7,1.4285714285714286,1.6,2.2857142857142856,0.2285714285714285,0.458984,0.1590909090909091
network_004,AN_4,plant.herbivor,22,52,0.4230769230769231,8.363636363636363,3.5384615384615383,0.1608391608391608,0.415392,0.3040649709243158
network_005,AN_5,host.parasite,18,46,0.391304347826087,10.444444444444445,4.086956521739131,0.2270531400966183,0.326236,0.6187609049667131
network_006,AN_6,host.parasite,6,24,0.25,9.833333333333334,2.4583333333333335,0.4097222222222222,0.208848,0.6530392197782323
network_007,AN_7,bacteria.phage,12,25,0.48,12.166666666666666,5.84,0.4866666666666667,0.196191,0.6449421480159185
network_008,AN_8,bacteria.phage,6,7,0.8571428571428571,4.166666666666667,3.5714285714285716,0.5952380952380952,0.2072,0.5717592592592592
network_009,AN_9,predator.prey,8,16,0.5,8.125,4.0625,0.5078125,0.161893,0.8211199836199836
network_010,AN_10,host.parasite,42,37,1.135135135135135,1.6666666666666667,1.891891891891892,0.045045045045045,0.825816,0.0506439641999563
network_011,AN_11,host.parasite,7,6,1.1666666666666667,1.0,1.1666666666666667,0.1666666666666666,0.816327,0.0
network_012,AN_12,bacteria.phage,3,17,0.1764705882352941,10.0,1.7647058823529411,0.5882352941176471,0.126667,0.5323741007194245
network_013,AN_13,bacteria.phage,5,5,1.0,2.8,2.8,0.56,0.196429,0.6833333333333333
network_014,AN_14,bacteria.phage,8,16,0.5,6.75,3.375,0.421875,0.245713,0.7477316602316603
network_015,AN_15,bacteria.phage,4,9,0.4444444444444444,4.25,1.8888888888888888,0.4722222222222222,0.262976,0.1904761904761904
network_016,AN_16,bacteria.phage,12,4,3.0,2.4166666666666665,7.25,0.6041666666666666,0.192628,0.4722222222222222
network_017,AN_17,host.parasite,200,39,5.128205128205129,2.335,11.974358974358974,0.0598717948717948,0.54868,0.0784378907889787
network_018,AN_18,host.parasite,139,38,3.6578947368421058,1.5179856115107917,5.552631578947368,0.0399469897765997,0.778779,0.033758569485692
network_019,AN_19,host.parasite,32,10,3.2,2.25,7.2,0.225,0.437114,0.2623272599243024
network_020,AN_20,host.parasite,8,8,1.0,2.375,2.375,0.296875,0.372576,0.3303571428571428
network_021,AN_21,bacteria.phage,13,23,0.5652173913043478,11.692307692307692,6.608695652173913,0.5083612040133779,0.160535,0.7172946724306242
network_022,AN_22,bacteria.phage,16,17,0.9411764705882352,7.375,6.9411764705882355,0.4338235294117647,0.213983,0.6871943486201298
